experiment,subj,"condition (1 = Retrieval Pradtice, 2 = Restudy)",practice_rp_success,source_rp_success,source_rp_failure,confidence_rp_success,confidence_rp_failure,recall_rp_success,recall_rp_failure
3,929,1,0.875,0.428571429,0.6,2.514285714,1.6,0.257142857,0
3,930,2,,0.725,0.725,2.7,2.7,0.1,0.1
3,931,1,0.8,0.53125,0.75,2.6875,2.375,0.21875,0.125
3,932,2,,0.575,0.575,2.2,2.2,0.15,0.15
3,933,1,0.525,0.333333333,0.421052632,1.666666667,1.894736842,0.380952381,0
3,934,2,,0.8,0.8,3.225,3.225,0.475,0.475
3,935,1,0.375,0.6,0.56,2.533333333,2.6,0.266666667,0
3,936,2,,0.825,0.825,3,3,0.25,0.25
3,937,1,0.725,0.793103448,0.909090909,3.103448276,2.818181818,0.413793103,0.181818182
3,938,2,,0.45,0.45,3.175,3.175,0.125,0.125
3,939,1,0.65,0.692307692,0.428571429,3.384615385,3.214285714,0.423076923,0
3,940,2,,0.55,0.55,3.075,3.075,0.075,0.075
3,941,1,0.55,0.409090909,0.333333333,2.590909091,2.222222222,0.272727273,0
3,942,2,,0.6,0.6,2.525,2.525,0.025,0.025
3,943,1,0.725,0.75862069,0.545454545,3.103448276,2.363636364,0.379310345,0
3,944,2,,0.4,0.4,3.25,3.25,0.15,0.15
3,945,1,0.45,0.444444444,0.318181818,3.111111111,1.818181818,0.222222222,0
3,946,2,,0.7,0.7,3.3,3.3,0,0
3,947,1,0.35,0.357142857,0.307692308,2.857142857,2.538461538,0.142857143,0.038461538
3,948,2,,0.575,0.575,2.175,2.175,0.2,0.2
3,949,1,0.65,0.461538462,0.5,2.884615385,2.642857143,0.346153846,0.071428571
3,950,2,,0.6,0.6,2.825,2.825,0.1,0.1
3,951,1,0.5,0.55,0.45,2.9,2.25,0.3,0.1
3,952,2,,0.575,0.575,2.7,2.7,0.15,0.15
3,953,1,0.575,0.782608696,0.705882353,3.782608696,3.176470588,0.043478261,0
3,954,2,,0.55,0.55,2.15,2.15,0.15,0.15
3,955,1,0.5,0.45,0.8,2.8,3.5,0.35,0
3,956,2,,0.7,0.7,2.75,2.75,0.325,0.325
3,957,1,0.4,0.4375,0.5,2.875,2.333333333,0.4375,0
3,958,2,,0.65,0.65,2.8,2.8,0.075,0.075
3,959,1,0.475,0.631578947,0.333333333,2.473684211,2.095238095,0.315789474,0.047619048
3,960,2,,0.475,0.475,2.975,2.975,0.45,0.45
3,961,1,0.7,0.357142857,0.333333333,1.178571429,1.166666667,0.428571429,0.25
3,962,2,,0.65,0.65,2.525,2.525,0.3,0.3
3,963,1,0.45,0.388888889,0.318181818,2.277777778,2,0.111111111,0.045454545
3,964,2,,0.7,0.7,3.225,3.225,0.2,0.2
3,965,1,0.325,0.692307692,0.666666667,3.076923077,2.518518519,0.153846154,0
3,966,2,,0.7,0.7,2.775,2.775,0.2,0.2
3,967,1,0.825,0.727272727,0.857142857,2.757575758,2.571428571,0.424242424,0
3,968,2,,0.55,0.55,2.05,2.05,0.175,0.175
